frame,phase,lead_arm_angle,trail_arm_angle,shoulder_rotation,hip_rotation,spine_tilt,lead_knee_flex,trail_knee_flex
16,Setup,132.0381295099226,139.27554795361178,26.885724770029864,19.455409140429126,1.005087323768379,132.56292370250873,123.7558608988764
17,Setup,133.71823775600274,138.48107902334087,23.755824401577208,16.31367393471146,1.022208609454018,133.17157667212567,124.41565139748806
18,Setup,131.33869515874994,138.07238943433504,22.38261199265507,16.102604403848527,0.9646351285266774,132.6838236639819,123.31277175644107
19,Setup,134.61541529354182,139.53077648490444,21.579780105460326,15.80803606698833,0.910640312243712,131.13538467718848,122.47285172703843
20,Setup,132.84541265063177,137.07880761770872,22.115043722493894,14.665345374003381,0.9301171786018189,131.6876912232472,122.63024114694
21,Setup,136.03271652172842,139.5861343141039,20.399354538739885,12.931110832476664,1.0660757906200622,131.36229004093812,126.47312941483588
22,Setup,134.24414286851763,135.89721071539125,19.862749112190635,12.262687717251932,1.0315368194454457,136.28239617778846,132.4699083417164
23,Setup,133.14631978623322,134.00097339264047,18.75895654200915,13.327029378162788,0.9289626146184754,135.24134933601792,137.44601390425206
24,Setup,133.9028116401118,136.81470481639457,18.217312566737316,14.512005164383794,0.8164385769945877,134.97842038374975,140.57207116196105
25,Setup,131.59939498253837,134.89600087818255,18.001487041958246,13.65871428289707,0.6874518664113303,131.84261454945133,130.35366626392062
26,Setup,134.56559819262748,132.84824909868917,16.99123486139439,13.845622669341378,0.6581064951025266,136.87320643523142,131.92949562034818
27,Setup,132.69552769642934,129.52075667496447,21.765550813094354,13.107318805228594,0.5919479289146751,137.18248893445426,131.7106838386374
28,Setup,133.21770081936796,130.152006873846,18.65879029249339,11.003786069585805,0.4443828769095372,139.51891081750128,144.85922191929149
29,Setup,137.76557525377666,127.80071698274828,26.144062563443683,20.414102010676366,0.40510960869760726,140.67799831453732,147.1718545306457
30,Setup,135.10616791804745,133.29062482028397,23.044731225173372,17.703983017082034,0.5426162972066205,142.76607810279435,141.3362789340952
31,Setup,136.8324005100286,126.76451139391068,25.97483717176534,15.240633468370365,0.35196884368842485,141.96355056331063,146.0550421517972
32,Setup,133.25601629470492,124.09378803353893,23.927440929769432,17.349853124369503,0.07329861750636574,142.77570200829555,150.24492065297787
33,Setup,130.7403723049172,116.1772778860366,36.14302358265309,23.07832537074831,0.9349663943805703,139.19977317863632,136.40392199768417
34,Setup,126.9335368452195,116.45764474064799,36.353606069656955,28.876450903387667,1.5663713435507873,135.62404614968253,121.01868335801483
35,Setup,129.81301688376075,117.76946274890317,40.029654825644286,28.688477681186022,1.923476969098686,131.56414274438507,118.23222375295674
36,Setup,134.91523396099055,119.53524628927921,39.17241885217011,28.098368521420166,1.9942119828479246,134.2465457661358,115.44033296035728
37,Setup,135.2365046793814,117.65798925137028,40.88919992176329,27.589751599689283,2.050726807385953,134.0452015012927,116.68240849729901
38,Backswing,134.5886719468627,114.2675024843957,39.797679648781525,25.97193063195169,1.7878033599684753,135.65719347508252,121.55727488422468
39,Backswing,135.76437358487692,113.30190252284075,40.23671305724439,23.91940283687835,1.5832971895774623,134.2467544367271,122.72406656247084
40,Transition,136.25957078106595,109.36621425734225,45.12873863951148,23.790375527052888,1.4176336466697717,134.96636153225865,121.1547628468038
41,Transition,142.70092933687286,112.48378153642653,50.90476449733343,26.311488451468776,1.3481591824289727,134.57823917738412,123.23504755651713
42,Transition,142.40065658403225,113.01017880010102,57.58037629731889,27.28968931817958,1.4222795065865268,124.5933445712637,118.65746575967042
43,Transition,144.52358876379415,116.2117246437451,58.5298173846566,29.759882908315404,1.3440515304452487,111.52433424994658,108.50521983106032
44,Transition,147.20405725988357,124.26290649945669,58.18910930899031,29.657415409877153,1.202297852031541,104.10348630499301,102.1985235447747
45,Transition,156.7940195419248,104.5729431219946,55.716071916205145,29.479776091945908,1.1370954220199574,108.85095492775201,105.0227119996203
46,Transition,155.69201999575574,121.39661078567251,62.87034804242639,33.175231370381745,0.8298883028254417,100.40214920369847,105.71483030890582
47,Transition,154.32242538897918,88.05838518289478,63.50612632048296,32.95243545029861,0.8910513794866503,101.73523827140967,102.26720941475416
48,Transition,163.39712008338842,106.81811723292945,64.90656176119258,34.002106944786405,0.8829206333845352,105.15056416543311,106.98810464064408
49,Transition,149.8084384673995,93.71960564749133,64.52142984504997,35.66089716315157,0.855322299452481,124.0580234960871,106.79596552405593
50,Transition,127.16505031252703,86.83198947501094,61.548620938489314,34.85321849223864,0.6075645520102377,142.82322026848846,119.95683583680062
51,Transition,115.98240020261908,70.07287333758433,63.9133843547115,30.701150471002006,0.48843915904051505,146.0022504188475,126.76877009471362
52,Transition,132.60771243849754,80.70445810319008,64.66227604210121,30.47884477337472,0.15795165465115876,135.10381884534334,123.11440153571601
53,Transition,137.74314775044607,70.99556809483893,69.38009312978218,30.19406046139284,0.1046990874880027,133.19131748654723,120.40124413254611
54,Transition,140.33688228761469,83.64369862681433,72.03879749996662,33.00404198650905,0.5173100195766178,132.45420173932897,121.30553127650765
55,Transition,129.88631840984408,71.40654759094618,71.56185248427101,32.75879456707914,0.4320886557208882,135.93025523523744,118.55510992721945
56,Transition,127.8828645484181,120.03376899562201,70.17632062292834,30.734772281853076,0.5171322100348742,141.68226996466322,124.13631114995125
57,Transition,130.71205432014295,110.96605731696712,72.44222238373665,26.06273945788971,0.6135806865536002,141.44028985442824,124.65927385290813
58,Transition,123.52454692629966,103.41933205516816,73.87401578733581,34.1818102606637,0.8011695991562544,145.7119298693185,133.84412911468522
59,Transition,125.26626179375599,95.2000085719951,74.22377069096254,33.85129058108716,0.8072326403486407,145.33648102830477,130.358291622767
60,Transition,121.90451096695084,48.21291390679695,76.36312399857093,38.57715499759392,1.0208425104957333,151.24520199276088,139.77927609750967
61,Transition,111.03501586108783,36.16504057503731,77.58987796644739,41.53610079552283,0.9255600692631117,153.15968083866116,139.63850719588595
62,Transition,108.86389982166327,68.62800329114047,76.89127719814404,41.249174591950926,0.9154987061073666,149.07086385956077,138.85597254279975
63,Transition,107.02210018101292,76.48832438427264,77.21788031625985,40.64879558590686,0.815501931455102,149.91725300682063,137.0740712437866
64,Transition,102.86513235940394,70.97280915104098,77.02276709305733,40.59111407163623,0.75413876754682,154.25253705432706,137.4183533154673
65,Transition,98.19973117264993,84.26903350698511,77.27558879406979,40.91639084057966,0.5039874133690521,153.29334448524935,137.4486408292924
66,Transition,88.54677301586854,131.27281650318852,77.17679584288483,42.363434284393705,0.3607086165247526,138.1535333296105,131.51781234006822
67,Transition,90.0658006790128,142.394241572808,76.9051130532049,42.47969755399917,0.17861858501823863,140.8772572201158,132.251016144777
68,Transition,89.90472586436533,142.47372869218614,76.57064443144422,40.82766452172657,0.22776713217760122,141.1426007731913,126.90349748392136
69,Transition,94.2951397504084,150.590685109495,75.80408463026713,39.2763920747839,0.3292209542431195,141.72872808890617,130.34944522857745
70,Transition,92.95704763800173,117.82183087333938,77.46451250417452,42.46095354782127,0.4073706564108495,141.53639578849413,130.96652971863543
71,Transition,88.01367440685115,139.4090474350097,76.44395680100322,40.20270110409899,0.5202181952597543,137.78726948028125,131.11327605291166
72,Downswing,93.06816912105865,123.1415420222064,76.79127366445583,41.555218617252066,1.0033997542657354,138.83424115136896,130.9137457632383
73,Downswing,101.06349857071204,134.4444862911789,74.87704129484459,40.14389684427639,1.4097360829355352,140.69381611903444,134.88835521236115
74,Downswing,103.42869605850973,99.88041556026825,77.53804131703868,41.22525785948871,1.8202486849892074,141.53236089852604,128.05608038112175
75,Downswing,121.18087243813869,110.45182530336749,73.93267978796938,35.5477508706285,1.8656997237246324,139.0375194323308,130.37921353417713
76,Downswing,125.42152887500323,81.1267257016821,73.23192016341004,36.39608583715705,1.7778039074396224,139.01480546771649,129.43385835814814
77,Downswing,140.1673477487118,96.00199164321843,71.52853228862284,34.92627933294305,2.0829643246057366,125.79545760689444,126.25887716141625
78,Downswing,126.86599773590505,90.85838765953767,66.10104849019962,29.242078353604875,2.9292969204212778,107.06946655433924,117.48101497963538
79,Downswing,155.13910547985492,95.08084165025498,62.655045213526826,30.828052237339342,4.302037780079699,106.6229475935095,118.73363132923166
80,Downswing,163.1282884279114,111.90590977069708,53.614051670634765,31.857682664571904,6.29140004336608,114.74243504178068,124.5910036741087
81,Downswing,132.4821297349319,110.46457539900601,51.544283171624,34.42651403446658,7.290459667669295,122.90469639006082,127.71030110915052
82,Downswing,128.52772610985613,99.83927542788649,51.67243129836125,40.43847990171049,8.304025597788423,133.91699535162937,133.96722574422446
83,Downswing,119.79472180691606,102.11621358044282,42.52450685716557,29.272276129642734,8.092334398914968,138.36031408306528,134.53408924533514
84,Downswing,124.48967260909721,127.3254791490351,41.3944433756761,16.171085795740147,7.480492553969248,145.41423539141744,140.29315294544307
85,Downswing,125.41521194504467,134.01570459177987,45.369380269525564,16.394414154356312,7.355536031471484,146.3824483681768,141.74132953707954
86,Follow Through,123.6541537742209,137.98135417457425,51.569541502283386,36.1093078944795,7.681866812414537,139.99615018001123,138.07746063942975
87,Follow Through,105.5371678022751,134.64423892347267,64.61862803116821,56.87953915188239,7.63713035667322,131.9157281031695,128.53619280251797
88,Follow Through,115.1201974544945,135.90544858200457,71.2935435204805,65.19296627211173,7.1078395830613825,130.4256707553538,120.60943184480399
89,Follow Through,53.77163881173881,136.774132542739,76.1948327186344,71.14780220458029,6.561043170704498,125.4845984081687,127.13620502278602
90,Follow Through,79.00039510867033,130.26752127192617,77.94813093229811,70.83400600242665,7.005198301855572,120.57217014197094,125.6104983878855
91,Follow Through,81.07375560898446,130.19337172212656,81.50763614369625,74.9651483981461,6.744890933069668,137.72751165160946,132.55140530348146
92,Follow Through,73.87877974700793,105.87710187022698,84.53437641468508,78.14593345958745,7.153863129526795,144.70141400427676,135.63971816676803
93,Follow Through,66.43294751678425,100.02530285262024,86.52006931440519,79.9982327524106,7.417082018330846,140.96299191952767,131.65857616876866
94,Follow Through,97.7329325016822,89.95027898879566,85.898446540493,80.56857970888906,7.055035033732334,139.97484740799518,130.60597809317022
95,Follow Through,66.58790365918335,88.78134386675373,87.86481807254368,81.87425854380737,6.991664436725601,147.4826913541455,133.66685184242183
96,Follow Through,102.27983865568507,84.54081538536622,87.37144519563665,81.87121709336179,6.885615424758308,151.55638487692224,135.74751361070236
97,Follow Through,98.65864331807697,88.4155223800267,87.10136984571454,81.9081667613265,6.699697885767787,149.89402192532665,134.46304897260703
98,Follow Through,36.09347411137639,101.02151539503457,88.2983606686009,82.94244327267108,6.572880392832925,148.98558575175292,135.4571239860114
99,Follow Through,46.25800333410293,118.88798977994696,88.76045671477067,83.82386898237648,6.3855996683906815,147.71603124877163,136.33348108424107
100,Follow Through,44.41648583953895,122.81224060307233,87.60370383973518,83.95796088884344,6.173845736488985,143.9775245337458,134.090203540039
101,Follow Through,83.67899194911263,124.08887061249285,88.33487960780764,84.78644387706352,6.548994168784103,143.8170805453988,130.8663553401709
102,Follow Through,142.48020840897388,117.21673090689212,88.42819996899344,85.23819577326447,6.357483350634654,150.40120920631296,135.91469676160366
103,Follow Through,26.777172937776836,109.55077024846578,88.71900504789669,85.52594169105414,6.506349495337805,157.40896606158148,142.069403829377
104,Follow Through,102.19221315301624,89.76010110179132,88.80063710766652,86.1310141869941,6.129765786764159,161.3310854365934,141.714448482369
105,Follow Through,83.52487614571831,100.53067833890421,89.93269563003778,86.93351372775759,6.116927722795475,165.52369211342267,144.54337420791816
106,Follow Through,62.3002759208601,98.90216484544348,89.89060512966508,86.88666322353075,6.046169094959006,163.62792522401654,145.57223213016644
107,Follow Through,26.96472258335078,112.2748697706299,88.27677825058176,86.8470023116806,5.6979353137912065,163.15901780815352,144.5636068906048
108,Follow Through,16.10769966395066,130.3969794840167,87.56690364954326,86.99568026959399,5.327952449470378,163.78284160281146,148.58880073067027
109,Follow Through,49.61220081106548,124.25686782146647,88.01306092242821,86.50924275874951,5.6078770814449745,164.7372895924275,146.69893971557292
110,Follow Through,127.74941692526727,121.48888010297608,88.19644831505043,85.89252670986524,5.670972664135083,163.57410195860558,145.10207069232936
111,Follow Through,29.409894653777553,123.574695299477,88.48970254752338,85.8683528263771,6.069651796858969,165.21146895746057,146.66013866809809
112,Follow Through,94.55973218672379,118.916826279344,89.2253309426331,85.72388980359229,6.4491053816768655,166.08168109432972,147.7164447890215
113,Follow Through,141.09609851410983,82.76654530337599,88.95083176676086,86.31799176025076,6.3354983375669125,162.47261745479182,146.7610611527172
114,Follow Through,109.38105383464902,116.64333065329667,88.00784433377417,86.8148518933095,6.509653332969177,165.73009953100706,147.86225644197154
115,Follow Through,144.90688704668963,125.21147128822527,85.28956989153974,88.54890538976717,5.156598561789442,160.55978889090693,147.46335105404793
116,Follow Through,69.83134354633438,112.64278917823978,86.92148655493327,87.26130764768223,6.130360977709484,165.5407299114408,146.55906534119438
117,Follow Through,144.25121751505114,43.542286725158014,86.99752185460123,87.65912305502427,5.727424902698808,162.7606244606722,145.1265059897931
118,Follow Through,138.18577863175443,111.40452204522528,86.15157768287435,87.63859250596184,5.878154862162202,163.40354434868323,144.76356885883988
119,Follow Through,84.06240601910321,113.91909724038287,86.63209459450623,87.54348670459436,6.192356018213565,163.94156498183588,147.1605053338563
120,Follow Through,20.528067257633094,122.24386047312629,87.3518878937343,86.7044300831253,6.358802628610545,165.53760721071768,145.9688695105569
121,Follow Through,45.57449300886863,118.82085325085028,88.07517708017245,86.42696785549093,6.600362594060917,167.8153467691263,146.7246503813288
122,Follow Through,128.4226302057299,122.03085296015236,86.83656989449993,87.61456000378786,6.280671648884731,165.45704788968683,146.2416113868212
123,Follow Through,60.94023460852579,118.15544942481625,87.42483298522409,87.39933352633106,6.529718665992582,165.70853705374802,145.58101115073154
124,Follow Through,97.30801070093823,117.55556596615851,87.8180303935857,87.12986852714654,6.872801979804071,167.0689415384686,145.38372544847482
125,Follow Through,100.53829385783155,115.75116870678848,87.10811976378687,88.18072208586149,6.843109349520226,165.50654298217043,146.75947202938775
126,Follow Through,36.84295002120741,118.37248268697229,86.68033717906188,88.76553991085039,6.769845820444255,163.88216692839234,145.79385420854385
127,Follow Through,90.17879977497194,107.07594139032838,88.98807282053991,88.40035248783542,6.742613199362258,164.73949480631222,143.22401140278353
